WKT,name,group
"POINT (-0.1767283 51.4972216)",Science Museum,Museum,
"POINT (-0.1763672 51.49671499999999)",Natural History Museum,Museum,
"POINT (-0.17218 51.4966392)",Victoria and Albert Museum,Museum,
"POINT (-0.1086584 51.4958366)",Imperial War Museum,Museum,
"POINT (-0.128299 51.50892899999999)",The National Gallery,Museum,
"POINT (-0.1431529 51.51527489999999)",Twist Museum,Museum,
"POINT (-0.1269566 51.5194133)",The British Museum,Museum,
"POINT (-0.1215852 51.5119031)",London Transport Museum,Museum,
"POINT (-0.087613 51.514166)",Bank of England Museum,Museum,
"POINT (-0.0576011 51.534646)",The Viktor Wynd Museum of Curiosities,Museum,
"POINT (-0.005226199999999999 51.4810058)",National Maritime Museum,Museum,
"POINT (-0.1604413 51.486405)",National Army Museum,Museum,
"POINT (-0.200244 51.4998973)",the Design Museum,Museum,
"POINT (-0.128299 51.50892899999999)",The National Gallery,Museum,
"POINT (-0.1311716 51.5060461)",Institute of Contemporary Arts,Museum,
"POINT (-0.1174699 51.51703819999999)",Sir John Soane's Museum,Museum,